Cleaned,Source,Price,Form,Company,ActiveIngredient
2 pack facial serum,fda_ndc,,,,2-pack facial serum
2 transform,fda_ndc,,,,"fucus vesiculosus, chelidonium majus, kali phosphoricum, lycopodium clavatum, natrum muriaticum, quercus glandium spiritus, quercus robur, nux vomica, phytolacca decandra, ornithogalum umbellatum, agnus castus, berberis aquifolium, berberis vulgaris, saccharum officinale, solidago virgaurea, calcarea carbonica, carbo vegetabilis, magnesia phosphorica, natrum phosphoricum, sinapis arvensis, flos, ubidecarenonum, graphites, hypophysis suis, placenta totalis suis, hypothalamus (bovine)"
20 zinc oxide non tinted mineral sunscreen,fda_ndc,,,,zinc oxide
20 zinc oxide tinted mineral sunscreen,fda_ndc,,,,zinc oxide
2000dl cl30t,fda_ndc,,,,spf30 bs tropical
2000dl cl30v,fda_ndc,,,,spf30 bs vanilla
200c homeopathic remedy kit,fda_ndc,,,,50 remedy kit
208,fda_ndc,,,,zinc oxide
20percent zinc oxide non tinted,fda_ndc,,,,zinc oxide
20percent zinc oxide sunscreen,fda_ndc,,,,zinc oxide
20percent zinc total protection,fda_ndc,,,,zinc oxide
24 7 life by 7 eleven instant hand sanitizer,fda_ndc,,,,ethyl alcohol
24 7 life by 7 eleven naproxen sodium,fda_ndc,,,,"naproxen sodium tablet, film coated"
24 7 life by 7 eleven nighttime cold and flu,fda_ndc,,,,"acetaminophen, dextromethorphan hbr, doxylamine succinate solution"
24 7 life medicated chest rub,fda_ndc,,,,"camphor, eucalyptus oil, menthol ointment"
24 7 life non drowsy allergy relief,fda_ndc,,,,loratadine tablet
24 7 relief and recovery pain relieving,fda_ndc,,,,"menthol, unspecified form"
24 hour acne serum,fda_ndc,,,,benzoyl peroxide
24 hour allergy,fda_ndc,,,,cetirizine hydrochloride
24 hour allergy nasal,fda_ndc,,,,fluticasone propionate
24 hour nasal allergy,fda_ndc,,,,triamcinolone acetonide
24 hour omeprazole,fda_ndc,,,,omeprazole 20 mg
24 hour sensitive skin acne clearing system,fda_ndc,,,,salicylic acid
24 hr omeprazole,fda_ndc,,,,omeprazole
24hr allergy relief,fda_ndc,,,,levocetirizine dihydrochloride
24k skin tone moisturizer spf 30,fda_ndc,,,,"octinoxate, homosalate, octisilate, oxybenzone and avobenzone"
25 dextrose infant,fda_ndc,,,,25% dextrose infant
2677 first aid burn cream,fda_ndc,,,,2677 first aid burn cream
2nd chance mobility pain relief,fda_ndc,,,,histamine dihydrochloride
2oz brazzillian ap deodorant asst,fda_ndc,,,,aluminum chlorohydrate
2xl mega rolls sanitizing wipes,fda_ndc,,,,benzalkonium chloride
3 5oz mens dry original fresh,fda_ndc,,,,aluminum chlorohydrate
3 5oz mp dry active sport,fda_ndc,,,,aluminum chlorohydrate
3 5oz mp dry chivalry,fda_ndc,,,,aluminum chlorohydrate
3 5oz womens dry cooling essence,fda_ndc,,,,aluminum chlorohydrate
3 5oz womens dry shower fresh,fda_ndc,,,,aluminum chlorohydrate
3 5oz womens dry white lily,fda_ndc,,,,aluminum chlorohydrate
3 6oz biest 2 5 estrogen cream,fda_ndc,,,,"estriol,estradiol,estrogen cream"
3 hydrogen peroxide,fda_ndc,,,,hydrogen peroxide
3 in 1 daily vanishing tinted sunscreen cream,fda_ndc,,,,zinc oxide
3 in 1 first aid wound care,fda_ndc,,,,benzethonium chloride
3 maple pollen mix,fda_ndc,,,,"acer rubrum, acer saccharinum and acer saccharum"
3 menthol plus 0 083 capsaicin pain relief patch,fda_ndc,,,,"pain relief patch, pain relief strip"
3 sodium chloride,fda_ndc,,,,3% sodium chloride
3 weed mix,fda_ndc,,,,"xanthium strumarium, chenopodium album, amaranthus retroflexus"
30 day acne treatment kit,fda_ndc,,,,"salicylic acid, benzoyl peroxide"
30c homeopathic remedy kit,fda_ndc,,,,50 remedy kit
360 by qur lemon verbena lip balm,fda_ndc,,,,"octinoxate, octocrylene, octisalate, avobenzone"
360 by qur spanish lime lip balm,fda_ndc,,,,"octinoxate, octocrylene, octisalate, avobenzone"
360 by qur vanilla lace lip balm,fda_ndc,,,,"octinoxate, octocrylene, octisalate, avobenzone"
360 by qur watercress mint lip balm,fda_ndc,,,,"octinoxate, octocrylene, octisalate, avobenzone"
365 everyday value,fda_ndc,,,,sport lotion mineral sunscreen spf 30
365 everyday value arnica,fda_ndc,,,,arnica montana
365 everyday value be well cough ease,fda_ndc,,,,"antimony potassium tartrate, bryonia alba root, protortonia cacti, drosera rotundifolia, ipecac, pulsatilla vulgaris, rumex crispus root, pongia officinalis skeleton, roasted, lobaria pulmonaria"
365 everyday value be well cough ease for kids,fda_ndc,,,,"antimony potassium tartrate, bryonia alba root, protortonia cacti, drosera rotundifolia, ipecac, pulsatilla vulgaris, rumex crispus root, pongia officinalis skeleton, roasted, lobaria pulmonaria"
365 everyday value cavity fighting and whitening,fda_ndc,,,,sodium monoflourophosphate
365 everyday value kids flouride,fda_ndc,,,,sodium monofluorophosphate
365 medicated lip balm,fda_ndc,,,,medicated lip balm
365 spiced balsam hand sanitizer wipes,fda_ndc,,,,alcohol hand sanitizer
365 spiced citrus hand sanitizer wipes,fda_ndc,,,,alcohol hand sanitizer
365 whole foods market acetaminophen,fda_ndc,,,,acetaminophen
365 whole foods market epsom salt,fda_ndc,,,,magnesium sulfate
365 whole foods market fluticasone propionate,fda_ndc,,,,fluticasone propionate
365 whole foods market guaifenesin,fda_ndc,,,,guaifenesin
365 whole foods market ibuprofen,fda_ndc,,,,ibuprofen
365 whole foods market loratadine,fda_ndc,,,,loratadine
365 whole foods market refreshing hand sanitizer bergamot rain,fda_ndc,,,,ethyl alcohol
365 whole foods market refreshing hand sanitizer citrus sunshine,fda_ndc,,,,ethyl alcohol
365 whole foods spearmint flavored fluoride mouthwash anticavity,fda_ndc,,,,fluoride
365 winterberry saffron hand sanitizer wipes,fda_ndc,,,,alcohol hand sanitizer
3d tinted moisturizing bs spf 30,fda_ndc,,,,zinc oxide
3ecare dual formula whiteningtoothpaste refill,fda_ndc,,,,sodium fluoride
3lab aqua bb spf 40 broad spectrum 01,fda_ndc,,,,titanium dioxide
3lab aqua bb spf 40 broad spectrum 02,fda_ndc,,,,titanium dioxide
3lab aqua bb spf 40 broad spectrum 03,fda_ndc,,,,titanium dioxide
3lab hydra day spf 20 broad spectrum water based sunscreen,fda_ndc,,,,"octinoxate, octisalate, avobenzone"
3lab perfect bb spf 40 broad spectrum 01,fda_ndc,,,,titanium dioxide
3lab perfect bb spf 40 broad spectrum 02,fda_ndc,,,,titanium dioxide
3lab perfect bb spf 40 broad spectrum 03,fda_ndc,,,,titanium dioxide
3lab perfect lite sunscreen spf 30 broad spectrum,fda_ndc,,,,"titanium dioxide, zinc oxide"
3lab perfect sunscreen spf 50 plus broad spectrum,fda_ndc,,,,"homosalate, octisalate, avobenzone, octocrylene"
3lab ww day spf40 broad spectrum,fda_ndc,,,,"homosalate, octisalate, avobenzone, octocrylene"
3m avagard,fda_ndc,,,,chlorhexidine gluconate and alcohol
3m avagard d,fda_ndc,,,,alcohol
3m cavilon durable barrier,fda_ndc,,,,dimethicone
3m duraprep surgical,fda_ndc,,,,iodine povacrylex and isopropyl alcohol
3m skin and nasal antiseptic,fda_ndc,,,,povidone-iodine
3m soluprep s,fda_ndc,,,,chlorhexidine gluconate and isopropyl alcohol
3x medicated mouth sore gel,fda_ndc,,,,benzocaine
3x medicated toothache and gum gel,fda_ndc,,,,benzocaine
4 10gtattoo numb cream,fda_ndc,,,,4% lidocaine
4 in 1 teeth care pens,fda_ndc,,,,4-in-1 teeth care pens
4 in look ginseng anit wrink anti wrinkle essence,fda_ndc,,,,niacinamide
4 kids cold and cough day and night grape flavor,fda_ndc,,,,"onion,anemone pulsatilla, phosphorus, goldenseal, calcium sulfide, sodium chloride, sulfur, matricaria chamomilla and arabica coffee bean"
4 kids cold and cough daytime,fda_ndc,,,,"onion, calcium sulfide, sodium chloride, phosphorus, pulsatilla vulgaris, sulfur, and goldenseal"
4 kids cold and cough nighttime,fda_ndc,,,,"onion, calcium sulfide, sodium chloride, anemone pulsatilla, arabica coffee bean, matricaria chamomilla, sulfur, phosphorus and goldenseal"
4 kids cold and cough nighttime natural grape flavor,fda_ndc,,,,"onion,anemone pulsatilla, phosphorus, goldenseal, calcium sulfide, sodium chloride, sulfur, matricaria chamomilla and arabica coffee bean"
4 kids cold and mucus nighttime,fda_ndc,,,,"euphrasia stricta,silicon dioxide, rumex crispus root, anemone pulsatilla, goldenseal, sodium chloride, phosphorus, onion, bryonia alba root, matricaria chamomilla, arabica coffee bean, calcium sulfide and sulfur"
4 kids cold n cough grape flavor,fda_ndc,,,,"onion, calcium sulfide, goldenseal, sodium chloride, phosphorus, anemone pulsatilla, and sulfur"
4 kids complete cold and mucus,fda_ndc,,,,"bryonia alba root, euphrasia stricta, calcium sulfide, sodium chloride, phosphorus, anemone pulsatilla, rumex crispus root, and silicon dioxide"
4 kids stuffy nose and sinus,fda_ndc,,,,"pulsatilla pratensis whole,oyster shell calcium carbonate, crude,goldenseal and potassium dichromate"
4 lidocaine maximum strength pain relief,fda_ndc,,,,lidocaine
4 lidocaine pain relief patch,fda_ndc,,,,lidocaine 4%
4 lidocaine patch,fda_ndc,,,,lidocaine
4 lidocaine patches,fda_ndc,,,,lidocaine
4 lidocaine plus 1 menthol pain relief patch,fda_ndc,,,,"pain relief patch, pain relief strip"
4 lidocaine topical anesthetic,fda_ndc,,,,lidocaine
4 menthol cold therapy,fda_ndc,,,,menthol
4 menthol pain relief,fda_ndc,,,,menthol
4 tattoo numb cream,fda_ndc,,,,4% lidocaine
4 way fast acting,fda_ndc,,,,phenylephrine hydrochloride
4 weed mix,fda_ndc,,,,"amaranthus retroflexus pollen, chenopodium album pollen, plantago lanceolata pollen, xanthium strumarium pollen"
40 oxygen nitrogen mix,fda_ndc,,,,40% oxygen/nitrogen mix
4718 enema mineral oil,fda_ndc,,,,"4718 enema, mineral oil"
4jointz,fda_ndc,,,,menthol
4ocean reef safe sunscreen spf 40,fda_ndc,,,,zinc oxide
4oz,fda_ndc,,,,miconazole
4x medicated gum cream,fda_ndc,,,,benzocaine
4x medicated severe toothache and gum cream,fda_ndc,,,,benzocaine
4x medicated severe toothache and gum gel,fda_ndc,,,,benzalkonium chloride
4x medicated toothache and gum cream,fda_ndc,,,,benzocaine
4x medicated toothache and gum gel,fda_ndc,,,,benzocaine
5 acne med,fda_ndc,,,,benzoyl peroxide
5 day,fda_ndc,,,,aluminum chlorohydrate
5 dr care numb cream,fda_ndc,,,,lidocaine
5 elementum delay wipes,fda_ndc,,,,benzocaine delay wipes
5 grass mix,fda_ndc,,,,"agrostis gigantea pollen, anthoxanthum odoratum, dactylis glomerata, phleum pratense, poa pratensis"
5 htp phenolic,fda_ndc,,,,5-hydroxytryptophan
5 in 1 tinted face sunscreen fair,fda_ndc,,,,zinc oxide
5 in 1 tinted face sunscreen golden light,fda_ndc,,,,zinc oxide
5 in 1 tinted face sunscreen light,fda_ndc,,,,zinc oxide
5 in 1 tinted face sunscreen medium,fda_ndc,,,,zinc oxide
5 menthol pain relief patch,fda_ndc,,,,pain relief patch
5 minoxidil and 5 rosemary for hair care,fda_ndc,,,,minoxidil
5 minoxidil beard growth serum,fda_ndc,,,,5% minoxidil
5 minoxidil hair care solution,fda_ndc,,,,5% minoxidil hair care solution
5 minoxidil hair growth foam,fda_ndc,,,,minoxidil
5 minoxidil hair growth foam with biotin,fda_ndc,,,,minoxidil
5 minoxidil hair growth serum,fda_ndc,,,,minoxidil
5 minoxidil hair growth serum liquid,fda_ndc,,,,minoxidil 5%
5 minoxidil hair growth spary,fda_ndc,,,,5% minoxidil hair growth spary
5 minoxidil hair growth sprays serum,fda_ndc,,,,minoxidil 5%
5 minoxidil hair growth topical solution,fda_ndc,,,,minoxidil
5 minoxidil hair regrowth foam,fda_ndc,,,,minoxidil
5 minoxidil hair regrowth serum with biotin,fda_ndc,,,,minoxidil
5 minoxidil topical aerosol for men,fda_ndc,,,,"minoxidil,biotin,niacinamide,caffeine"
5 minoxidil topical solution,fda_ndc,,,,minoxidil
5 minoxidil with biotin,fda_ndc,,,,minoxidil
5 minoxidil with biotin topical solution,fda_ndc,,,,minoxidil
5 minoxidilhairgrowthspray,fda_ndc,,,,5%minoxidilhairgrowthspray
5 percent benzoyl peroxide cleanser,fda_ndc,,,,benzoyl peroxide
5 signature numb cream,fda_ndc,,,,5% lidocaine
5 symptom digestive relief,fda_ndc,,,,bismuth subsalicylate
50 dextrose,fda_ndc,,,,50% dextrose
50 ethyl rubbing alcohol,fda_ndc,,,,alcohol
50 isopropyl alcohol,fda_ndc,,,,isopropyl alcohol
50 magnesium sulfate,fda_ndc,,,,50% magnesium sulfate
50 percent isopropyl alcohol,fda_ndc,,,,isopropyl alcohol
50 rubbing,fda_ndc,,,,isopropyl alcohol
50 wintergreen alcohol,fda_ndc,,,,alcohol
5253 hand sanitizer,fda_ndc,,,,ethyl alcohol
5259 hand sanitizer,fda_ndc,,,,ethyl alcohol
5281 sunscreen,fda_ndc,,,,"avobenzone, homosalate, octocrylene, octisalate"
5283 sunscreen,fda_ndc,,,,"avobenzone, homosalate, octocrylene, octisalate"
5298 sunscreen,fda_ndc,,,,"avobenzone, homosalate, octocrylene, octisalate"
5299 sunscreen,fda_ndc,,,,"avobenzone, homosalate, octocrylene, octisalate"
5406 hand sanitizer,fda_ndc,,,,ethyl alcohol
5407 sunscreen,fda_ndc,,,,"avobenzone, homosalate, octocrylene, octisalate"
5ewa5 antibacterial hand sanitizer wipes,fda_ndc,,,,benzalkonium chloride
5kind dmso,fda_ndc,,,,"menthol, methyl salicylate"
5kind dmso 4 lidocaine hcl pain relieving,fda_ndc,,,,"lidocaine hydrochloride, menthol"
5kind dmso pain relieving,fda_ndc,,,,camphor (synthetic)
5kind maximum strength pain relieving lidocaine hcl hemp,fda_ndc,,,,lidocaine hydrochloride
5oct antibacterl hand wipes,fda_ndc,,,,5oct antibacterl hand wipes
6 hetastarch in 0 9 sodium chloride,fda_ndc,,,,6% hetastarch in 0.9% sodium chloride
60 second fluoride gel,fda_ndc,,,,sodium fluoride
60 second taste strawberry,fda_ndc,,,,topical apf fluoride gel
6000x elemental screen bs spf 30 sunscreen,fda_ndc,,,,zinc oxide
7 5 sodium bicarbonate,fda_ndc,,,,7.5% sodium bicarbonate
7 select maximum strength,fda_ndc,,,,"dextromethorphan hbr, guaifenesin"
7 select oral pain maximum strength relief,fda_ndc,,,,benzocaine
7 select redness relief,fda_ndc,,,,glycerin and naphazoline hci
7 standardized grass pollen mix,fda_ndc,,,,"poa pratensis, festuca elatior, dactylis glomerata, lolium perenne, agrositis alba, anthoxanthum odoratum, and phleum pratense"
70,fda_ndc,,,,isopropyl alcohol
70 alcohol hand sanitizer,fda_ndc,,,,alcohol
70 isopropyl alcohol,fda_ndc,,,,isopropyl alcohol
70 isopropyl rubbing alcohol,fda_ndc,,,,isopropyl alcohol
70 isopropyl rubbing alcohol with wintergreen,fda_ndc,,,,isopropyl alcohol
70 rubbing,fda_ndc,,,,isopropyl alcohol
70 rubbing ethyl alcohol,fda_ndc,,,,alcohol
701 dieda zhengtong yaogao medicated,fda_ndc,,,,camphor and menthol
7030 calcium gold,fda_ndc,,,,calcium
7030 calcium premium,fda_ndc,,,,calcium
75 alcohol disinfectant,fda_ndc,,,,alcohol
75 alcohol wipes,fda_ndc,,,,alcohol
78 x 36 spf 30 active,fda_ndc,,,,zinc oxide
7th manna pain relief drops,fda_ndc,,,,"menthol, camphor (synthetic)"
8 4 sodium bicarbonate,fda_ndc,,,,8.4% sodium bicarbonate
8 hour arthritis pain,fda_ndc,,,,acetaminophen
8 hour pain relief,fda_ndc,,,,acetaminophen
8 hr arthritis pain,fda_ndc,,,,acetaminophen
8 hr arthritis pain relief,fda_ndc,,,,acetaminophen
8 hr muscle aches and pain,fda_ndc,,,,acetaminophen
8 hr pain relief,fda_ndc,,,,acetaminophen
87066 5912,fda_ndc,,,,aluminum chlorohydrate spray
8hr arthritis pain,fda_ndc,,,,acetaminophen
8hr arthritis pain relief,fda_ndc,,,,acetaminophen
8hr muscle aches and pain,fda_ndc,,,,acetaminophen
8hr muscle aches and pain relief,fda_ndc,,,,acetaminophen
8hr pain relief,fda_ndc,,,,acetaminophen
9 southern grass pollen mix,fda_ndc,,,,"poa pratensis, festuca elatior, dactylis glomerata, lolium perenne, agrositis alba, anthoxanthum odoratum, and phleum pratense"
9 tree mix,fda_ndc,,,,"acer saccharum pollen, alnus rhombifolia pollen, betula lenta pollen, carya ovata pollen, fraxinus americana pollen, platanus occidentalis pollen, populus alba pollen, quercus alba pollen, ulmus americana pollen"
91 isopropyl alcohol,fda_ndc,,,,isopropyl alcohol
91 isopropyl rubbing alcohol,fda_ndc,,,,isopropyl alcohol
91 isopropyl rubbing alcohol with wintergreen,fda_ndc,,,,isopropyl alcohol
911,fda_ndc,,,,allantoin
911 adrenal burnout and fatigue,fda_ndc,,,,"aceticum ac, adrenalinum, adrenocorticotrophin (30x), aesculus hippocastanum, flos, alfalfa, alpha-lipoic ac, ambra, arg nit, avena sativa, bryonia, carboneum oxygenisatum, carpinus betulus, flos, dna, fumaricum acidum, gelsemium sempervirens, hepar sulphuris calcareum, hypothalamus, kali phosphoricum, lacticum acidum, lecithin, natrum muriaticum, oxalicum acidum, phosphoricum acidum, pituitarum posterium, sarcolacticum acidum, selenium metallicum, sepia, silicea, succinicum acidum and thyroidinum."
911 stress and anxiousness,fda_ndc,,,,"aconitum napellus, alfalfa, apis mellifica, avena sativa, chamomilla, cistus canadensis, clematis vitalba, flos, histaminum hydrochloricum, ignatia amara, impatiens glandulifera, flos, kali phosphoricum, lilium tigrinum, ornithogalum umbellatum, flos, passiflora incarnata, phosphorus, prunus cerasifera, flos, pulsatilla, and valeriana officinalis."
99 plus hand sanitizer,fda_ndc,,,,benzealkonium chloride
a 1,fda_ndc,,,,"capra hircus skin, felis catus skin, bos taurus skin, canis lupus familiaris skin, equus caballus skin, capra hircus hair, and sheep wool"
a 10,fda_ndc,,,,"quercus rubra whole, quercus velutina whole, quercus alba wood, quercus kelloggii whole, quercus agrifolia whole, and quercus garryana whole"
a 11,fda_ndc,,,,egg white and egg yolk
a 12,fda_ndc,,,,"juniperus ashei pollen, juniperus virginiana pollen, tamarix gallica pollen, cupressus arizonica pollen, taxodium distichum pollen, juniperus monosperma pollen, juniperus pinchotii pollen, juniperus scopulorum pollen, pinus taeda pollen, pinus strobus pollen, and pinus echinata pollen"
a 13,fda_ndc,,,,"gallus gallus feather, anas platyrhynchos feather, and anser anser feather"
a 14,fda_ndc,,,,"cod, unspecified, flounder, unspecified, halibut, unspecified, mackerel, unspecified, tuna, unspecified, and salmon, unspecified"
a 15,fda_ndc,,,,"apple, apricot, banana, cherry, grape, peach, pineapple, pear, and strawberry"
a 16,fda_ndc,,,,"barley, corn, oat, and wheat"
a 17,fda_ndc,,,,"barley, corn, oat, white rice, rye, and wheat"
a 18,fda_ndc,,,,"ceiba pentandra seed, powdered cellulose, and bombyx mori fiber"
a 19,fda_ndc,,,,"solenopsis invicta, periplaneta americana, musca domestica, bombyx mori whole, and aedes taeniorhynchus"
a 2,fda_ndc,,,,"soybean, lima bean, kidney bean, string bean, black-eyed pea, and pea"
a 20,fda_ndc,,,,"beef, pork, lamb, chicken, and turkey"
a 21,fda_ndc,,,,"alternaria alternata, aspergillus niger var. niger, cochliobolus spicifer, gibberella fujikuroi, cochliobolus sativus, cladosporium bruhnei, mucor plumbeus, penicillium chrysogenum var. chrysogenum, aureobasidium pullulans var. pullutans, and rhizopus stolonifer"
a 22,fda_ndc,,,,"aspergillus flavus, aspergillus fumigatus, eurotium herbariorum, aspergillus nidulans, aspergillus niger var. niger, penicillium camemberti, penicillium chrysogenum var. chrysogenum, penicillium digitatum, and penicillium roqueforti"
a 23,fda_ndc,,,,"almond, cashew, brazil nut, pecan, peanut, coconut, black walnut, english walnut, cotton seed, flax seed, and sesame seed"
a 24,fda_ndc,,,,"agrostis gigantea pollen, festuca pratensis pollen, poa pratensis pollen, dactylis glomerata pollen, phleum pratense pollen, anthoxanthum odoratum pollen, lolium perenne pollen, medicago sativa pollen, trifolium pratense pollen, solidago canadensis pollen, ambrosia acanthicarpa pollen, ambrosia psilostachya pollen, ambrosia trifida pollen, ambrosia artemisiifolia pollen, xanthium strumarium pollen, chenopodium album pollen, amaranthus retroflexus pollen, and cynodon dactylon pollen"
a 25,fda_ndc,,,,"grindelia ciliata pollen, dysphania botrys pollen, xanthium strumarium pollen, leucanthemum vulgare pollen, taraxacum officinale pollen, lonicera japonica flower, iva annua pollen, artemisia vulgaris pollen, and amaranthus retroflexus pollen"
a 26,fda_ndc,,,,artemisia ludoviciana pollen and artemisia tridentata pollen
a 27,fda_ndc,,,,"atriplex polycarpa pollen, atriplex lentiformis pollen, and atriplex canescens pollen"
a 28,fda_ndc,,,,"quahog, unspecified, blue crab, edible oyster, shrimp, unspecified, and scallop, unspecified"
a 29,fda_ndc,,,,"cinnamon, garlic, ginger, mustard seed, unspecified, and nutmeg"
a 3,fda_ndc,,,,"blackberry, blueberry, cranberry, raspberry, and strawberry"
a 30,fda_ndc,,,,tobacco leaf
a 31,fda_ndc,,,,"potato, sweet potato, zucchini, tomato, and cucumber"
a 32,fda_ndc,,,,"broccoli, cabbage, carrot, turnip, and cauliflower"
a 33,fda_ndc,,,,"celery, cultivated mushroom, lettuce, green olive, green bell pepper, spinach, and onion"
a 34,fda_ndc,,,,saccharomyces cerevisiae
a 35,fda_ndc,,,,"bos taurus adrenal gland, onion, garlic, amanita muscaria fruiting body, avena sativa flowering top, activated charcoal, arabica coffee bean, histamine dihydrochloride, hydrangea arborescens root, skim milk, corn silk, and elymus repens whole"
a 36,fda_ndc,,,,"bos taurus adrenal gland, agrimonia eupatoria, bellis perennis, camphor (natural), matricaria chamomilla, equisetum hyemale, fraxinus americana bark, formica rufa, histamine dihydrochloride, iodine, potassium dichromate, canis lupus familiaris milk, sodium chloride, anemone pulsatilla, salix nigra bark, and tobacco leaf"
a 4,fda_ndc,,,,"cocoa, coffee bean, and tea leaf"
a 5,fda_ndc,,,,sucrose
a 6,fda_ndc,,,,"lemon, orange, and grapefruit"
a 7,fda_ndc,,,,"casein, casein, lactococcus lactis cultured, aged, cow milk, and goat milk"
a 8,fda_ndc,,,,deciduous tree mix
a 9,fda_ndc,,,,house dust
a and d,fda_ndc,,,,petrolatum
a and d diaper rash and skin protectant,fda_ndc,,,,lanolin and petrolatum
a and d plus e,fda_ndc,,,,"vitamin a, d and e ointment"
a and e deep throat desensitizing spraypeppermint,fda_ndc,,,,oral numbing spray mint
